Target GPCRdb ID,number of peptides
ackr1_human,10
ackr2_human,11
ackr3_human,2
ackr4_human,3
acthr_human,1
agtr1_human,2
agtr2_human,3
apj_human,7
bkrb1_human,7
bkrb2_human,6
c3ar_human,2
c5ar1_human,3
c5ar2_human,2
calcr_human,6
calrl_human,5
cckar_human,6
ccr10_human,2
ccr1_human,9
ccr2_human,5
ccr3_human,10
ccr4_human,2
ccr5_human,9
ccr6_human,2
ccr7_human,2
ccr8_human,1
ccr9_human,1
cml1_human,1
cml2_human,1
crfr1_human,3
crfr2_human,4
cx3c1_human,1
cxcr1_human,3
cxcr2_human,7
cxcr3_human,8
cxcr4_human,6
cxcr5_human,1
cxcr6_human,1
ednra_human,3
ednrb_human,3
fpr1_human,2
fpr2_human,4
fpr3_human,3
fshr_human,1
fzd1_human,5
fzd2_human,1
fzd6_human,3
g37l1_human,1
galr1_human,2
galr2_human,3
galr3_human,3
gasr_human,9
ghrhr_human,1
ghsr_human,2
gipr_human,1
glp1r_human,3
glp2r_human,1
glr_human,1
gnrhr_human,2
gp107_human,1
gpr37_human,1
gpr39_human,1
gpr75_human,1
grpr_human,3
hrh4_human,1
kissr_human,4
lgr4_human,4
lgr5_human,4
lgr6_human,4
mc3r_human,4
mc4r_human,4
mc5r_human,4
mchr1_human,1
mchr2_human,1
mrgx1_human,1
mrgx2_human,1
mshr_human,4
mtlr_human,1
nk1r_human,4
nk2r_human,5
nk3r_human,3
nmbr_human,3
nmur1_human,2
nmur2_human,2
npbw1_human,4
npbw2_human,4
npff1_human,7
npff2_human,7
npsr1_human,1
npy1r_human,3
npy2r_human,5
npy4r_human,3
npy5r_human,3
ntr1_human,4
ntr2_human,3
oprd_human,8
oprk_human,8
oprm_human,8
oprx_human,1
ox1r_human,2
ox2r_human,2
oxyr_human,1
pacr_human,5
par4_human,1
pkr1_human,3
pkr2_human,3
prlhr_human,3
pth1r_human,3
pth2r_human,4
qrfpr_human,2
rl3r1_human,1
sctr_human,1
ssr1_human,3
ssr2_human,3
ssr3_human,3
ssr4_human,3
ssr5_human,3
trfr_human,1
ur2r_human,2
v1ar_human,2
v1br_human,2
v2r_human,2
vipr1_human,6
vipr2_human,5
xcr1_human,2
