Ligand ID,number of targets
573,3
574,1
582,1
585,2
599,1
605,1
606,1
612,2
613,2
639,2
644,1
646,2
649,2
650,2
681,7
682,6
683,7
684,7
685,4
687,7
753,4
754,2
755,1
756,3
757,2
758,7
759,5
769,4
770,6
771,5
772,5
775,1
776,1
797,3
798,2
808,2
810,3
811,2
812,1
817,2
819,1
820,3
821,3
827,1
828,1
829,2
830,1
835,1
836,3
837,1
845,1
855,1
856,1
860,2
861,2
864,2
912,2
919,2
921,2
928,1
989,2
990,2
1004,2
1031,2
1044,1
1047,2
1099,1
1132,1
1136,2
1140,1
1152,3
1157,1
1162,2
1164,2
1272,4
1283,1
1284,1
1285,1
1288,1
1298,2
1320,4
1333,4
1458,1
1468,2
1470,2
1479,2
1490,1
1495,2
1496,2
1501,2
1502,2
1504,4
1512,4
1514,4
1517,1
1576,1
1577,1
1579,2
1587,1
1600,2
1613,2
1614,3
1619,3
1620,3
1621,2
1622,2
1623,2
1643,2
1644,1
1681,1
1697,2
1699,2
1785,2
1790,2
1815,1
1866,2
1867,2
1868,2
1871,1
1873,3
1997,1
2008,5
2019,5
2020,5
2089,3
2090,3
2091,2
2098,3
2139,1
2153,1
2156,1
2168,3
2174,4
2257,3
2258,3
2270,3
2274,2
2504,2
2945,2
3542,1
3544,1
3547,1
3548,3
3549,2
3552,2
3556,1
3559,2
3570,2
3578,2
3580,2
3582,2
3592,3
3594,3
3600,1
3606,4
3625,2
3627,1
3633,5
3640,2
3643,3
3645,1
3646,1
3647,1
3648,1
3649,2
3665,3
3667,1
3668,1
3669,1
3672,1
3673,1
3681,1
3697,3
3698,3
3699,3
3700,3
3706,1
3728,1
3729,1
3735,2
3736,2
3738,3
3935,1
4016,2
4057,1
4058,1
4358,3
4370,1
5336,1
5340,2
5527,1
5654,1
5895,1
6067,2
6242,1
7930,1
8409,1
8410,1
8411,1
8525,1
8526,1
8530,1
8531,1
8532,1
8533,1
10221,2
11417,2
