identifier,iptm+ptm,seq_len,average_pLDDT,interface_pLDDT,dG_cross,dSASA_int,hbonds_int,nres_int,sc_value,peptide_interface_pLLDT,receptor_interface_pLLDT
lgr4_human___573,0.4617784894444289,1025,73.20351219512203,69.77567164179106,,,,,,84.31142857142859,45.3556
c5ar1_human___573,0.8855148801434976,424,86.41924528301884,91.48999999999998,,,,,,90.69250000000001,92.93064516129033
oprm_human___5654,0.550038411528333,413,66.3325907990315,72.91160493827158,,,,,,80.75397058823529,31.89
fzd2_human___1157,0.556058470793578,574,79.86456293706297,69.99696969696969,,,,,,79.5326923076923,34.57857142857143
cml1_human___2945,0.6686491685024871,507,78.1987376725838,75.35694444444442,,,,,,75.1582894736842,75.57897058823531
gipr_human___1140,,,,,,,,,,,
ccr2_human___798,0.8021116729800577,443,76.32300225733631,85.64643356643356,,,,,,87.11257731958763,82.55478260869565
par4_human___11417,0.5411657235135285,399,72.29087719298249,69.27573770491803,,,,,,78.64816326530611,31.005
acthr_human___1320,0.5619382598609284,310,76.01048387096775,62.662153846153814,,,,,,70.08923076923074,32.95384615384615
cxcr3_human___6067,0.4581311145620022,390,67.85323076923075,59.78129032258063,,,,,,67.95042253521127,33.41727272727273
c5ar2_human___3548,0.3933251519080524,656,76.8094207317073,64.58042735042734,,,,,,51.25476190476192,72.04279999999999
hrh4_human___1298,0.5413857761235972,409,67.79564792176046,63.3726666666667,,,,,,71.70263157894738,36.99444444444445
cx3c1_human___3548,0.32474852833149903,674,74.24762611275973,68.34843137254902,,,,,,73.71355769230767,56.96122448979594
glp2r_human___856,,,,,,,,,,,
ackr4_human___810,0.8530785504230249,427,80.85674473067917,86.47551181102357,,,,,,85.57464285714283,88.2353488372093
galr1_human___573,0.4065622108785415,423,72.65434988179663,64.62863636363637,,,,,,68.064375,59.84847826086957
cxcr4_human___5654,0.6021538620434329,365,73.79517808219175,67.52725806451613,,,,,,73.9069387755102,43.48076923076923
fpr1_human___613,0.6419918891599994,360,78.4875,79.17058823529413,,,,,,84.81559999999999,36.833000000000006
ccr4_human___856,,,,,,,,,,,
cxcr4_human___808,0.43237106832772754,422,73.42902843601892,59.68539473684212,,,,,,63.018775510204094,53.63592592592593
xcr1_human___754,0.3791719620354514,425,69.50183529411768,58.56536363636364,,,,,,65.11301369863016,45.64702702702703
ccr7_human___855,0.3277359974702775,603,55.631077943615246,55.17709821428572,,,,,,61.68318840579712,44.73709302325583
lgr4_human___585,0.7129210694023047,958,76.35469728601262,84.75690476190476,,,,,,95.31514285714283,31.965714285714284
npy2r_human___1152,0.654307694427043,409,78.65711491442543,78.1235802469136,,,,,,81.89387096774195,65.82052631578948
lgr4_human___817,0.40772466057155404,1078,71.1661502782931,72.46246913580246,,,,,,85.05865384615385,49.87620689655172
galr1_human___5654,0.6119327198384277,362,74.72085635359122,71.13342105263159,,,,,,77.23412698412699,41.568461538461534
cxcr3_human___5895,0.43920473183728787,394,69.0142639593909,59.941041666666656,,,,,,69.08630136986302,30.914782608695656
cx3c1_human___3647,0.6163050329894169,448,76.32419642857148,77.88561538461535,,,,,,80.71804597701147,72.15488372093021
npy5r_human___3548,0.32078638788947417,764,65.74242146596859,57.22928571428572,,,,,,43.16097222222221,69.58195121951219
oprm_human___3542,0.38599098646110186,442,63.832850678733045,59.64015999999998,,,,,,70.75976744186046,35.12
c5ar2_human___2945,0.393383751999745,471,77.07464968152865,70.07190476190479,,,,,,71.63111111111112,67.61000000000001
npy2r_human___1699,0.5543305142857919,409,75.73938875305623,71.13516666666665,,,,,,79.29406249999998,38.49958333333334
crfr2_human___2257,0.4787788531965441,438,70.03792237442923,65.06571428571431,,,,,,72.19641304347826,40.76851851851852
gipr_human___1152,,,,,,,,,,,
gpr75_human___2168,0.6628970884458824,549,55.5578870673953,67.925,,,,,,71.46868852459015,43.906666666666666
calrl_human___754,0.3437586913387418,553,63.80699819168176,51.34978260869565,,,,,,58.50083333333333,43.54863636363635
.fasta,,,,,,,,,,,
gipr_human___574,,,,,,,,,,,
pkr1_human___1871,0.524898513558304,413,68.8960532687651,61.98505617977526,,,,,,69.66228571428572,33.70052631578947
ccr7_human___808,0.7979875832015371,448,76.40616071428565,75.91992248062016,,,,,,72.87382716049382,81.06020833333335
ccr2_human___758,0.8485651478203711,442,78.5862669683258,89.71809523809527,,,,,,89.81410000000004,89.51382978723407
ghrhr_human___3542,,,,,,,,,,,
hrh4_human___687,0.3289182542188426,427,66.57248243559718,59.29196428571429,,,,,,69.15974358974358,36.654117647058825
xcr1_human___817,0.35042932125101695,460,69.29367391304348,62.765604395604406,,,,,,65.6917741935484,56.50965517241379
cxcr2_human___585,0.5467510173956884,367,71.44561307901904,69.46066666666667,,,,,,74.22849056603775,33.36142857142857
fpr1_human___1047,0.5398496692312124,374,76.28243315508026,72.33266666666665,,,,,,80.97482352941175,35.603500000000004
galr1_human___3735,0.5317419122934247,367,75.73027247956405,65.66906666666665,,,,,,73.66824561403509,40.33833333333334
ackr4_human___808,0.8585960483337222,420,80.40840476190469,84.00222222222222,,,,,,82.40657534246574,86.64954545454547
cx3c1_human___681,0.5015292480606937,392,72.50875000000002,66.34810218978102,,,,,,78.21168316831682,33.06416666666666
oprm_human___1298,0.6904611837078132,419,66.10818615751793,74.09866666666669,,,,,,79.72302325581396,48.64105263157896
crfr1_human___3643,0.4410432928733498,442,69.96932126696835,58.686976744186055,,,,,,66.66406779661017,41.25555555555556
cxcr4_human___3542,0.40823168924417186,394,71.1140355329949,55.43298701298699,,,,,,64.16644444444447,43.151562500000004
cxcr3_human___3570,0.7098639712165395,603,78.09094527363189,72.3732608695652,,,,,,53.16982142857143,85.48780487804876
vipr2_human___3700,,,,,,,,,,,
ccr8_human___856,,,,,,,,,,,
acthr_human___4057,0.5008196743643647,317,75.43028391167188,60.36011627906979,,,,,,66.70611940298508,37.982105263157884
fzd2_human___644,0.5087555021129344,574,78.60646341463418,70.81439999999999,,,,,,79.97951219512194,29.06222222222222
ccr2_human___5654,0.5871070615525122,387,71.2379328165375,65.86614035087719,,,,,,73.69931818181819,39.353846153846156
pth2r_human___3594,,,,,,,,,,,
fpr1_human___687,0.4852288029355203,387,74.70033591731261,69.4773553719008,,,,,,80.99780219780217,34.532000000000004
cxcr6_human___817,0.33828181522001344,469,66.64153518123666,60.75114285714286,,,,,,65.19978723404255,51.6604347826087
fzd1_human___810,0.3361106688769348,724,68.48179558011051,57.267391304347846,,,,,,63.36682926829269,48.33607142857143
ghrhr_human___2270,,,,,,,,,,,
ackr2_human___1320,0.621268886082161,397,70.9969521410579,70.34139240506326,,,,,,75.95742424242422,41.82923076923077
ackr4_human___1790,0.49731990234861834,386,71.74155440414509,59.71269230769231,,,,,,66.57288461538462,45.99230769230769
lgr4_human___856,,,,,,,,,,,
calcr_human___687,,,,,,,,,,,
lgr4_human___1157,0.6967195844650933,960,76.76384133611698,81.06064516129034,,,,,,94.82875000000001,33.855714285714285
c3ar_human___3700,0.24174958777556252,697,55.89078909612622,61.97494382022472,,,,,,67.04612244897962,55.76275
vipr1_human___1504,,,,,,,,,,,
cml2_human___1681,0.5737707897559123,372,76.9478225806452,69.02532608695653,,,,,,76.79453333333332,34.74941176470588
pkr1_human___3570,0.7828091549716164,628,80.66407643312098,79.66687943262407,,,,,,67.69515151515151,90.20200000000001
ccr7_human___1579,0.4818228804797503,391,69.08292307692301,65.76270833333331,,,,,,71.29149999999997,38.118750000000006
c3ar_human___1470,0.45396864792821706,507,61.43262327416171,71.52819148936173,,,,,,80.55368421052634,33.42055555555556
hrh4_human___3645,0.33318002790241297,477,63.51064989517811,57.42367088607596,,,,,,60.92187500000001,52.00709677419354
pth2r_human___3542,,,,,,,,,,,
npy1r_human___1298,0.5954151707848873,403,70.8434739454095,64.61603960396042,,,,,,69.44060975609759,43.794210526315794
xcr1_human___5336,0.4795779426510487,356,72.58042134831459,60.8701063829787,,,,,,70.31859154929576,31.703043478260874
calcr_human___798,,,,,,,,,,,
hrh4_human___1099,0.4229757329033679,418,67.54626794258373,63.85471428571427,,,,,,71.8609433962264,38.89411764705883
ccr10_human___810,0.8456946461085665,439,76.96719817767651,83.39851851851854,,,,,,81.28310344827587,87.23270833333335
acthr_human___3633,0.36461368791227866,336,71.26276785714288,63.521538461538455,,,,,,71.57629032258065,32.309375
cml2_human___681,0.46857516076989214,392,73.5500510204081,63.013719008264424,,,,,,75.9565517241379,29.895294117647058
lgr6_human___613,0.7242078665229548,977,73.95590583418625,79.74263157894738,,,,,,94.02793103448276,33.712222222222216
gpr75_human___6067,0.7365838659462632,562,58.23451957295376,76.79707317073171,,,,,,79.32196721311476,69.46285714285716
ccr2_human___1047,0.5109519437987413,398,68.9053768844221,59.20821428571425,,,,,,67.21492063492062,35.188095238095244
ccr1_human___754,0.7620565073434579,447,76.95445190156596,80.79068441064636,,,,,,84.088947368421,72.20616438356164
cml1_human___3700,0.24600239032505294,588,62.03120748299326,53.17481308411213,,,,,,56.731808510638295,50.38850000000001
calrl_human___3643,0.4600068902892264,488,67.26077868852457,60.08495327102804,,,,,,70.53625,29.11814814814815
c5ar1_human___5895,0.45876281458823753,376,71.82045212765955,57.011142857142865,,,,,,66.74303797468355,27.441153846153842
npy4r_human___2090,0.47608001362984936,385,71.44589610389613,66.21639344262293,,,,,,73.43274509803919,29.412999999999993
npy4r_human___1136,0.45465255284527517,404,72.20002475247523,65.46926605504585,,,,,,76.03587499999998,36.32
vipr2_human___1790,,,,,,,,,,,
ccr2_human___776,0.8019656943990354,445,76.35310112359555,85.04118110236223,,,,,,86.59104651162791,81.79024390243902
cxcr2_human___758,0.6960325080798351,428,73.7268925233645,64.71643478260867,,,,,,63.78358208955224,66.01854166666668
ackr2_human___754,0.6816345022115717,476,73.68186974789913,77.00339999999997,,,,,,80.24022222222224,72.14816666666668
gpr75_human___5895,0.6881817971734188,566,58.89747349823328,73.47085365853656,,,,,,79.66810344827586,58.494166666666665
npy2r_human___2156,0.7741237841852668,389,77.99172236503854,77.06877192982458,,,,,,79.8365306122449,60.11625
crfr2_human___3594,0.42103717648932604,471,66.46188959660297,58.314746835443025,,,,,,70.6540566037736,33.16153846153846
calrl_human___1470,0.4057668590379521,486,67.18226337448557,59.19323529411765,,,,,,69.85192307692311,24.5525
crfr1_human___1470,0.45522893907402784,440,69.85434090909082,59.8781914893617,,,,,,69.81521126760566,29.203043478260874
pkr2_human___613,0.5716719482075402,394,73.31944162436552,67.28157894736839,,,,,,72.52348484848484,32.684999999999995
vipr1_human___2156,,,,,,,,,,,
lgr4_human___2098,0.6899530420541384,962,75.96553014553022,83.82959999999999,,,,,,94.5090243902439,35.17888888888889
pkr2_human___5654,0.5365931363660572,397,70.73267002518895,63.50434210526317,,,,,,69.37031746031747,35.07692307692308
acthr_human___574,0.3577913454943644,370,74.06478378378381,66.6879661016949,,,,,,57.71913043478262,72.41805555555554
ccr8_human___812,0.8329907961151596,428,83.60485981308406,83.35468531468534,,,,,,83.48696629213488,83.13666666666668
ccr4_human___3542,0.6003396371166752,402,75.84805970149252,70.08465753424656,,,,,,77.61672727272726,47.06999999999999
ccr6_human___4358,0.6305623006936832,442,72.07418552036198,65.83691176470586,,,,,,65.00321839080456,67.31714285714284
ccr4_human___821,0.8223873838405337,437,79.530594965675,81.856265060241,,,,,,83.04817391304351,79.16862745098041
pkr1_human___613,0.5907454003048457,403,70.00483870967741,68.39635135135136,,,,,,73.32734375,36.838
ccr3_human___1136,0.5811094113467756,384,78.168828125,72.26421875,,,,,,80.58,49.2735294117647
npy5r_human___1997,0.5711913004932615,472,64.09739406779659,70.06377192982454,,,,,,77.2622222222222,43.06958333333333
ox1r_human___5654,0.591783558841307,438,68.45089041095895,70.12629213483146,,,,,,75.88263157894738,36.473846153846154
cx3c1_human___808,0.7121493670589326,425,77.14261176470595,72.51000000000003,,,,,,69.78555555555558,75.39470588235292
acthr_human___1333,0.5571834982504575,308,74.12870129870126,63.54171875000002,,,,,,69.80698113207549,33.35454545454545
ccr7_human___1136,0.5344315199783076,407,71.11975429975426,68.18577464788731,,,,,,73.28096153846153,54.241052631578945
ox1r_human___612,0.5921408154038519,452,73.81055309734514,76.41361904761902,,,,,,82.54035714285709,51.906666666666666
crfr2_human___1140,0.6438905532887353,444,73.39889639639642,69.30657894736844,,,,,,75.55543209876544,53.96848484848485
npy2r_human___1871,0.8583087821460184,401,79.16902743142141,83.77278350515466,,,,,,85.54935064935066,76.933
ox1r_human___1699,0.6859498418885324,453,73.9686313465784,76.88153153153152,,,,,,81.70458823529411,61.11384615384614
ccr8_human___808,0.42861941849333535,425,73.38825882352941,66.54629999999999,,,,,,71.7563076923077,56.870571428571424
ccr4_human___754,0.714832786857981,452,76.36564159292031,77.96625984251966,,,,,,82.42728260869565,66.24014285714287
cxcr4_human___798,0.7726318414643621,421,79.42881235154393,85.14236641221376,,,,,,87.71119565217391,79.08256410256409
fzd1_human___6067,0.4147600400969234,669,72.5722571001495,59.967605633802826,,,,,,67.06081632653063,44.16909090909092
ccr5_human___3643,0.5254129479302372,379,75.81905013192612,67.527,,,,,,73.14090909090909,52.08875
ccr7_human___758,0.8018702728666957,446,73.59195067264571,76.51220689655169,,,,,,74.48877551020406,80.73127659574467
cxcr5_human___808,0.4315565192293438,442,68.53418552036197,59.99285714285715,,,,,,61.142321428571435,57.69392857142857
acthr_human___1157,0.5824625378972214,306,74.8199342105263,60.86826086956522,,,,,,65.87769230769231,32.95857142857143
npy4r_human___1283,0.6662910967892046,385,73.52883116883116,77.90347222222225,,,,,,82.69887096774197,48.17199999999999
ccr5_human___798,0.7898616166476979,421,81.52463182897863,85.69122302158272,,,,,,87.18896907216495,82.23214285714288
cml2_human___1136,0.455243520935382,384,76.82783854166667,70.52170454545457,,,,,,81.35701492537316,35.951904761904764
c5ar2_human___5654,0.6196218562442642,350,77.65748571428568,75.03375000000001,,,,,,82.20298507462687,38.08461538461538
ccr8_human___3606,0.49452514232948175,373,75.59686327077748,67.21614583333333,,,,,,75.76282051282051,30.18055555555556
galr1_human___3592,0.755624013708376,379,80.66984168865432,81.54885057471266,,,,,,85.24333333333337,71.85083333333333
par4_human___2019,0.5768107765543531,399,73.66894736842097,71.67262295081967,,,,,,80.2877551020408,36.494166666666665
xcr1_human___856,,,,,,,,,,,
galr3_human___1136,0.534978679963619,397,75.10556675062976,71.58594202898553,,,,,,77.43627450980391,55.010000000000005
lgr4_human___1298,0.6794129325696,970,75.9624845360827,75.73260869565217,,,,,,91.5259375,39.63357142857143
c3ar_human___1495,0.5185450786977029,505,62.31174257425749,71.8633,,,,,,81.25148148148146,31.840000000000003
ackr4_human___798,0.7062664955783801,419,76.78229116945111,77.84487012987012,,,,,,80.12168224299064,72.66148936170212
cxcr2_human___5895,0.4417814412905793,386,67.05836787564766,55.98105263157899,,,,,,64.54642857142859,31.998
oprm_human___2019,0.5970585210244687,414,65.39328502415462,71.9805633802817,,,,,,80.68789473684211,36.52928571428571
vipr2_human___3542,,,,,,,,,,,
vipr2_human___2156,,,,,,,,,,,
glp2r_human___808,0.37975928467297687,623,57.81446227929374,53.17343749999999,,,,,,56.6945238095238,46.451363636363645
pth2r_human___1140,,,,,,,,,,,
c3ar_human___3640,0.7927041737682887,559,67.21889087656527,78.36068749999995,,,,,,75.87705357142852,84.15583333333335
ackr4_human___758,0.8186394984178477,418,78.7834449760765,80.77797202797203,,,,,,80.82309278350516,80.68282608695652
cxcr6_human___808,0.44798124551224416,412,72.11963592233015,63.00133333333336,,,,,,66.69276595744684,56.805
hrh4_human___1681,0.5034692925909907,407,67.83535626535628,64.49301204819277,,,,,,72.30500000000002,34.164117647058816
pth2r_human___1790,,,,,,,,,,,
pkr2_human___1458,0.5253976928869191,406,73.0240886699507,65.555375,,,,,,71.90866666666666,46.49550000000001
c5ar2_human___1099,0.4963097022370836,365,77.23052054794525,75.13400000000004,,,,,,83.57863636363639,45.8
acthr_human___3606,0.5167333227346592,315,75.35273015873024,62.9182716049383,,,,,,70.16000000000001,33.498749999999994
galr3_human___1162,0.5986657375992102,378,75.17965517241373,70.80735849056603,,,,,,77.65477272727273,37.33111111111111
par4_human___1997,0.5115956025850642,412,71.67060679611653,62.821904761904776,,,,,,73.08754098360657,35.595652173913045
fzd2_human___3735,0.536063688827672,583,79.26140651801029,66.86709677419356,,,,,,81.06066666666666,29.295882352941177
gpr75_human___1504,0.5148674102533192,576,54.62355902777774,66.4823469387755,,,,,,69.77430555555556,57.36615384615384
ackr4_human___5654,0.5685235273391098,363,74.62112947658399,62.83220338983054,,,,,,69.25000000000003,40.12307692307692
cxcr5_human___1458,0.5101132772222289,394,69.99794416243657,59.93720588235294,,,,,,65.9926923076923,40.256875
npy2r_human___1504,0.8826310556960554,417,82.47930455635496,89.59,,,,,,89.984875,88.37499999999999
