,agonist length,agonist msa depth,agonist selectivity,gpcr selectivity,pKi,N-term length
AF2 RIA energy (no templates),"(-0.016354782085926976, 0.8575111160382449, 123)","(-0.08016267388125047, 0.3781072863529623, 123)","(-0.2040369256380458, 0.02359611943063236, 123)","(-0.07417549370334639, 0.4148602603477445, 123)","(0.05229722383946128, 0.73296664259424, 123)","(-0.30462307563065927, 0.0006131453925019939, 123)"
AF2 (no templates),"(0.24687015266979925, 0.005910457810487032, 123)","(0.11789874527996798, 0.19403172385556086, 123)","(-0.12429231037159515, 0.17077704993188225, 123)","(-0.25602885729822067, 0.004259079905118185, 123)","(-0.2155111507049693, 0.15509007185632562, 123)","(-0.07952563609671996, 0.38192090669073486, 123)"
AF2 LIS (no templates),"(-0.12058606894861046, 0.18399229138599293, 123)","(-0.09391635450928243, 0.30149464596754627, 123)","(-0.07318582975330723, 0.4211300967582756, 123)","(-0.14123411738935293, 0.11918816582189677, 123)","(-0.2967843713757142, 0.04773480686986057, 123)","(-0.14974374647462824, 0.09830719202322534, 123)"
AF2 RIA sc (no templates),"(-0.09200321168683404, 0.3114926005702707, 123)","(-0.11988312594035318, 0.18658092170830665, 123)","(-0.21887147709704852, 0.01500810092027094, 123)","(-0.15804315898317667, 0.08083238514606378, 123)","(-0.2159446529846699, 0.15424117365226178, 123)","(-0.23241555625322818, 0.009686649502188562, 123)"
RF-AA APPRAISE,"(-0.2014724046978755, 0.02606126891899259, 122)","(-0.20634055632926848, 0.022593449586000836, 122)","(-0.10705217750128453, 0.24054186912185607, 122)","(0.05040865208208408, 0.5813590217249087, 122)","(0.056722204206345994, 0.7113118031462174, 122)","(-0.08386284712477245, 0.35842060418655464, 122)"
AF2 APPRAISE (no templates),"(-0.22567485962445707, 0.01208114136390212, 123)","(-0.21531737768916506, 0.01676928325194175, 123)","(0.03215952825194902, 0.7240014279096141, 123)","(-0.11215279652452693, 0.2168174118969631, 123)","(-0.26690281263915683, 0.07633427737499104, 123)","(-0.22481664548721586, 0.012420435692903612, 123)"
RF-AA RIA sc,"(0.19652700678377955, 0.030039465016069123, 122)","(0.09261146013477387, 0.3103066248131302, 122)","(0.017139044906235343, 0.8513690770986828, 122)","(-0.11116366502605622, 0.22284995682330944, 122)","(0.006095885100001781, 0.9682987743943302, 122)","(0.018551845525965078, 0.8392758733927231, 122)"
RF-AA,"(0.5261511590576341, 4.849779339850855e-10, 122)","(0.3497676557233172, 7.847149987290888e-05, 122)","(-0.01909852852810922, 0.8346062844050164, 122)","(-0.3022681070469255, 0.0007148914927775129, 122)","(0.15304131024152978, 0.3155372482000968, 122)","(0.07516788487816238, 0.41057945016573827, 122)"
RF-AA RIA energy,"(0.10100568023628285, 0.26829698278667685, 122)","(0.04619290927702579, 0.6133939692848906, 122)","(0.05791064781258178, 0.5263476251694312, 122)","(-0.013650004673551697, 0.8813768226792726, 122)","(-0.00896511380437298, 0.9533913117538138, 122)","(0.011536001336145896, 0.8996434531244192, 122)"
Peptriever,"(-0.42807462718009326, 0.0058591572945355715, 40)","(-0.18501852258740026, 0.2530570481017309, 40)","(0.05264159072371108, 0.7469973733235616, 40)","(-0.021687070273849304, 0.8943300460958832, 40)","(-0.12912961651350308, 0.5769426287027337, 40)","(-0.028125404991352607, 0.8632220989499961, 40)"
