Model1,Model2,Statistic,P-value,Corrected P-value,Significance
NeuralPLexer,RFAA,35.0,2.6e-09,6.6e-09,****
NeuralPLexer,RFAA_no_templates,56.0,8.2e-09,1.84e-08,****
NeuralPLexer,AF2,0.0,4e-10,1.3e-09,****
NeuralPLexer,AF2_no_templates,0.0,4e-10,1.3e-09,****
NeuralPLexer,ESMFold,266.0,0.000117049,0.0001560654,***
NeuralPLexer,AF3,0.0,4e-10,1.3e-09,****
NeuralPLexer,Chai-1,0.0,4e-10,1.3e-09,****
NeuralPLexer,Chai-1_no_MSAs,0.0,4e-10,1.3e-09,****
RFAA,RFAA_no_templates,572.0,0.2866455396,0.2866455396,ns
RFAA,AF2,61.0,1.07e-08,2.14e-08,****
RFAA,AF2_no_templates,39.0,3.2e-09,7.8e-09,****
RFAA,ESMFold,20.0,1.1e-09,3.6e-09,****
RFAA,AF3,98.0,7.36e-08,1.325e-07,****
RFAA,Chai-1,196.0,7.132e-06,1.0698e-05,****
RFAA,Chai-1_no_MSAs,322.0,0.0008310564,0.0009650978,***
RFAA_no_templates,AF2,33.0,2.3e-09,6.4e-09,****
RFAA_no_templates,AF2_no_templates,28.0,1.7e-09,5.2e-09,****
RFAA_no_templates,ESMFold,60.0,1.01e-08,2.14e-08,****
RFAA_no_templates,AF3,76.0,2.37e-08,4.49e-08,****
RFAA_no_templates,Chai-1,161.0,1.521e-06,2.3808e-06,****
RFAA_no_templates,Chai-1_no_MSAs,312.0,0.0005962652,0.0007401913,***
AF2,AF2_no_templates,486.0,0.0645005524,0.0682947026,ns
AF2,ESMFold,0.0,4e-10,1.3e-09,****
AF2,AF3,373.0,0.0040047711,0.0045053675,**
AF2,Chai-1,221.0,2.02572e-05,2.91703e-05,****
AF2,Chai-1_no_MSAs,112.0,1.483e-07,2.542e-07,****
AF2_no_templates,ESMFold,0.0,4e-10,1.3e-09,****
AF2_no_templates,AF3,534.0,0.1580759951,0.1625924521,ns
AF2_no_templates,Chai-1,271.0,0.0001408384,0.000181078,***
AF2_no_templates,Chai-1_no_MSAs,159.0,1.3884e-06,2.2719e-06,****
ESMFold,AF3,0.0,4e-10,1.3e-09,****
ESMFold,Chai-1,0.0,4e-10,1.3e-09,****
ESMFold,Chai-1_no_MSAs,1.0,4e-10,1.3e-09,****
AF3,Chai-1,314.0,0.0006376006,0.0007651207,***
AF3,Chai-1_no_MSAs,239.0,4.16533e-05,5.76738e-05,****
Chai-1,Chai-1_no_MSAs,485.0,0.0631958572,0.0682947026,ns
