Model,GPCR,AgonistRank,Class,Model_class
AF2 (no templates),ednrb_human,0.9247183783303697,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ednra_human,1.0981998730822302,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),glr_human,0.9517098879360502,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),ccr5_human,0.9674774554889772,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),v1ar_human,0.9613550379923583,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),galr2_human,0.9107037189574714,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ccr4_human,0.9091921851173982,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),c5ar1_human,1.9312110651638386,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),c5ar2_human,0.9701428203526542,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),npy2r_human,1.0868827661193472,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ssr2_human,1.069086454155659,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),v2r_human,0.9653002129920293,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ur2r_human,1.0275738092008653,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),agtr2_human,1.0099597995447656,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),oxyr_human,0.9823708086796787,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),mtlr_human,0.9044553450837839,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),pth1r_human,1.0889618135424337,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),calrl_human,0.9496676555484604,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),ackr2_human,0.917227966864065,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ntr2_human,2.030660727058945,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),oprk_human,4.953257978327438,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),glp1r_human,1.004008495347587,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),glp2r_human,2.0156878801642035,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
