identifier,msa_dim0,msa_dim1,num_templates,num_alignments,chain_lengths,msa_seq_lengths
cckar_human___864,2065,436,1,2065,1:428|2:8,1:1248|2:18
ghsr_human___2156,2121,374,1,2121,1:366|2:8,1:1653|2:73
ednrb_human___613,2082,452,1,2082,1:442|2:10,1:1767|2:34
ssr1_human___5654,2048,404,1,2048,1:391|2:13,1:1962|2:1
ntr2_human___1099,2150,438,1,2150,1:410|2:28,1:1054|2:160
grpr_human___1136,2463,413,1,2463,1:384|2:29,1:1861|2:705
agtr2_human___1790,2348,399,1,2348,1:363|2:36,1:1876|2:407
ntr1_human___798,3072,487,1,3072,1:418|2:69,1:1770|2:2032
ntr1_human___1579,2083,431,1,2083,1:418|2:13,1:1633|2:36
gpr37_human___3594,2226,673,1,2226,1:613|2:60,1:1327|2:234
nk3r_human___2090,2084,475,1,2084,1:465|2:10,1:1798|2:37
ox2r_human___3735,2115,462,1,2115,1:444|2:18,1:1263|2:68
mrgx1_human___687,2313,359,1,2313,1:322|2:37,1:1898|2:435
oprd_human___2019,2155,386,1,2155,1:372|2:14,1:1889|2:107
bkrb2_human___582,2048,398,1,2048,1:391|2:7,1:1905|2:1
kissr_human___3594,2225,458,1,2225,1:398|2:60,1:1815|2:234
qrfpr_human___681,2329,468,1,2329,1:431|2:37,1:1736|2:459
oprd_human___1162,2077,382,1,2077,1:372|2:10,1:1889|2:30
v1br_human___2168,2101,433,1,2101,1:424|2:9,1:1567|2:53
oprx_human___1136,2468,399,1,2468,1:370|2:29,1:1936|2:703
ur2r_human___3643,2099,416,1,2099,1:389|2:27,1:1865|2:103
gpr37_human___585,2050,620,1,2050,1:613|2:7,1:1305|2:3
nk1r_human___612,2191,434,1,2191,1:407|2:27,1:1796|2:198
v1br_human___821,3072,501,1,3072,1:424|2:77,1:1746|2:2026
bkrb2_human___1790,2348,427,1,2348,1:391|2:36,1:1907|2:407
npbw2_human___3640,3072,410,1,3072,1:333|2:77,1:1991|2:1960
ssr1_human___1997,2434,418,1,2434,1:391|2:27,1:1974|2:575
ox2r_human___5654,2048,457,1,2048,1:444|2:13,1:1263|2:1
nk1r_human___644,2057,416,1,2057,1:407|2:9,1:1792|2:10
ntr1_human___585,2050,425,1,2050,1:418|2:7,1:1633|2:3
ssr5_human___2019,2155,378,1,2155,1:364|2:14,1:1944|2:107
mshr_human___1140,2486,350,1,2486,1:317|2:33,1:1483|2:688
nmur2_human___1099,2150,443,1,2150,1:415|2:28,1:1746|2:160
kissr_human___1643,2293,429,1,2293,1:398|2:31,1:1821|2:362
npff2_human___681,2330,559,1,2330,1:522|2:37,1:1691|2:459
kissr_human___1871,2116,418,1,2116,1:398|2:20,1:1818|2:77
trfr_human___3548,3072,717,1,3072,1:398|2:319,1:1690|2:1869
gpr39_human___2019,2155,467,1,2155,1:453|2:14,1:1339|2:107
galr2_human___3643,2099,414,1,2099,1:387|2:27,1:1853|2:102
bkrb1_human___3542,2424,395,1,2424,1:353|2:42,1:1884|2:578
npsr1_human___2168,2101,380,1,2101,1:371|2:9,1:1636|2:53
npsr1_human___5654,2048,384,1,2048,1:371|2:13,1:1636|2:1
nk3r_human___1504,2249,501,1,2249,1:465|2:36,1:1815|2:512
mrgx1_human___3640,3072,399,1,3072,1:322|2:77,1:1940|2:1957
agtr2_human___613,2082,373,1,2082,1:363|2:10,1:1874|2:34
sctr_human___2156,2121,448,1,2121,1:440|2:8,1:1747|2:73
nmur1_human___1579,2083,439,1,2083,1:426|2:13,1:1760|2:36
trfr_human___4058,2109,413,1,2109,1:398|2:15,1:1512|2:61
mshr_human___5654,2048,330,1,2048,1:317|2:13,1:1412|2:1
galr2_human___2019,2155,401,1,2155,1:387|2:14,1:1849|2:107
npff1_human___11417,2078,444,1,2078,1:430|2:14,1:1723|2:31
npff2_human___1790,2343,558,1,2343,1:522|2:36,1:1688|2:413
mchr1_human___1790,2348,458,1,2348,1:422|2:36,1:1919|2:407
nmur2_human___2270,2395,459,1,2395,1:415|2:44,1:1804|2:765
nmur2_human___1579,2083,428,1,2083,1:415|2:13,1:1732|2:36
mc3r_human___2270,2403,367,1,2403,1:323|2:44,1:1691|2:760
gpr37_human___2168,2101,622,1,2101,1:613|2:9,1:1305|2:53
rl3r1_human___574,3244,542,1,3244,1:469|2:73,1:1733|2:1457
oprk_human___2945,3214,514,1,3214,1:380|2:134,1:1877|2:1327
apj_human___1479,2059,388,1,2059,1:380|2:8,1:1745|2:12
gnrhr_human___3548,3072,647,1,3072,1:328|2:319,1:1762|2:1870
mrgx2_human___574,3220,403,1,3220,1:330|2:73,1:1892|2:1469
ssr3_human___2019,2155,432,1,2155,1:418|2:14,1:1931|2:107
apj_human___2945,3214,514,1,3214,1:380|2:134,1:1757|2:1327
nk1r_human___1514,2252,443,1,2252,1:407|2:36,1:1815|2:488
mtlr_human___1099,2150,440,1,2150,1:412|2:28,1:915|2:160
nk1r_human___1871,2116,427,1,2116,1:407|2:20,1:1792|2:77
bkrb1_human___5654,2048,366,1,2048,1:353|2:13,1:1878|2:1
bkrb2_human___3548,3072,710,1,3072,1:391|2:319,1:1931|2:1839
nk2r_human___1871,2116,418,1,2116,1:398|2:20,1:1829|2:77
mtlr_human___1136,2469,441,1,2469,1:412|2:29,1:876|2:707
nmbr_human___3594,2225,450,1,2225,1:390|2:60,1:1841|2:234
ox2r_human___1699,2162,472,1,2162,1:444|2:28,1:1291|2:196
galr2_human___3700,3072,602,1,3072,1:387|2:215,1:1905|2:1524
ssr2_human___1643,2292,400,1,2292,1:369|2:31,1:1962|2:362
fpr2_human___3542,2423,393,1,2423,1:351|2:42,1:1758|2:578
nk2r_human___771,3072,474,1,3072,1:398|2:76,1:1914|2:2026
ox2r_human___1479,2059,452,1,2059,1:444|2:8,1:1263|2:12
trfr_human___2139,2048,401,1,2048,1:398|2:3,1:1512|2:1
gp107_human___2019,2155,614,1,2155,1:600|2:14,1:759|2:107
v1br_human___1643,2291,455,1,2291,1:424|2:31,1:1590|2:362
g37l1_human___1157,2108,490,1,2108,1:481|2:9,1:1748|2:60
oprx_human___1643,2293,401,1,2293,1:370|2:31,1:1936|2:362
mshr_human___574,3245,390,1,3245,1:317|2:73,1:1545|2:1459
ssr1_human___1157,2108,400,1,2108,1:391|2:9,1:1962|2:60
nmur1_human___1470,2205,451,1,2205,1:426|2:25,1:1765|2:194
kissr_human___1283,2074,408,1,2074,1:398|2:10,1:1817|2:27
nmur2_human___1047,2106,439,1,2106,1:415|2:24,1:1736|2:76
nmur1_human___2089,2056,436,1,2056,1:426|2:10,1:1760|2:9
rl3r1_human___3548,3072,788,1,3072,1:469|2:319,1:1765|2:1844
npff2_human___3735,2115,540,1,2115,1:522|2:18,1:1671|2:68
grpr_human___3700,3072,599,1,3072,1:384|2:215,1:1911|2:1509
qrfpr_human___3570,3072,666,1,3072,1:431|2:235,1:1745|2:1919
trfr_human___1490,2087,418,1,2087,1:398|2:20,1:1512|2:41
sctr_human___817,3698,567,1,3698,1:440|2:127,1:1767|2:1396
npbw1_human___1623,2048,332,1,2048,1:328|2:4,1:1964|2:1
fpr2_human___574,3244,424,1,3244,1:351|2:73,1:1771|2:1455
galr2_human___5654,2048,400,1,2048,1:387|2:13,1:1849|2:1
sctr_human___3570,3072,675,1,3072,1:440|2:235,1:1811|2:1926
bkrb1_human___1681,2070,370,1,2070,1:353|2:17,1:1878|2:23
fpr2_human___3935,2108,372,1,2108,1:351|2:21,1:1749|2:77
mtlr_human___2098,2067,423,1,2067,1:412|2:11,1:904|2:20
npbw1_human___1495,2116,351,1,2116,1:328|2:23,1:1966|2:89
nk2r_human___1514,2254,434,1,2254,1:398|2:36,1:1837|2:488
mc5r_human___574,3244,398,1,3244,1:325|2:73,1:1815|2:1459
v2r_human___3640,3072,448,1,3072,1:371|2:77,1:1810|2:1956
gpr37_human___612,2190,640,1,2190,1:613|2:27,1:1322|2:198
