identifier,msa_dim0,msa_dim1,num_templates,num_alignments,chain_lengths,msa_seq_lengths
lgr4_human___573,3235,1025,1,3235,1:951|2:74,1:1008|2:1471
c5ar1_human___573,3242,424,1,3242,1:350|2:74,1:1754|2:1464
oprm_human___5654,2048,413,1,2048,1:400|2:13,1:1895|2:1
fzd2_human___1157,2108,574,1,2108,1:565|2:9,1:1297|2:60
cml1_human___2945,3214,507,1,3214,1:373|2:134,1:1845|2:1326
ccr2_human___798,3072,443,1,3072,1:374|2:69,1:1973|2:2031
par4_human___11417,2078,399,1,2078,1:385|2:14,1:1949|2:31
acthr_human___1320,2127,310,1,2127,1:297|2:13,1:1628|2:102
cxcr3_human___6067,2261,390,1,2261,1:368|2:22,1:1990|2:214
c5ar2_human___3548,3072,656,1,3072,1:337|2:319,1:1761|2:1823
hrh4_human___1298,2147,409,1,2147,1:390|2:19,1:1135|2:129
cx3c1_human___3548,3072,674,1,3072,1:355|2:319,1:1975|2:1837
ackr4_human___810,3072,427,1,3072,1:350|2:77,1:1998|2:2025
galr1_human___573,3242,423,1,3242,1:349|2:74,1:1841|2:1467
cxcr4_human___5654,2048,365,1,2048,1:352|2:13,1:1938|2:1
fpr1_human___613,2082,360,1,2082,1:350|2:10,1:1767|2:34
cxcr4_human___808,3072,422,1,3072,1:352|2:70,1:1945|2:2024
xcr1_human___754,3072,425,1,3072,1:333|2:92,1:1971|2:2016
ccr7_human___855,2138,603,1,2138,1:378|2:225,1:1917|2:273
lgr4_human___585,2050,958,1,2050,1:951|2:7,1:757|2:3
npy2r_human___1152,2417,409,1,2417,1:381|2:28,1:1908|2:511
lgr4_human___817,3685,1078,1,3685,1:951|2:127,1:1000|2:1396
galr1_human___5654,2048,362,1,2048,1:349|2:13,1:1824|2:1
cxcr3_human___5895,2160,394,1,2160,1:368|2:26,1:1989|2:215
cx3c1_human___3647,3072,448,1,3072,1:355|2:93,1:1994|2:1992
npy5r_human___3548,3072,764,1,3072,1:445|2:319,1:1073|2:1862
oprm_human___3542,2423,442,1,2423,1:400|2:42,1:1901|2:577
c5ar2_human___2945,3214,471,1,3214,1:337|2:134,1:1749|2:1326
