identifier,msa_dim0,msa_dim1,num_templates,num_alignments,chain_lengths,msa_seq_lengths
pacr_human___3570,3072,703,1,3072,1:468|2:235,1:1353|2:1924
gipr_human___1140,2480,499,1,2480,1:466|2:33,1:1698|2:695
cx3c1_human___3548,3072,674,1,3072,1:355|2:319,1:1975|2:1837
glp2r_human___856,3461,926,1,3461,1:553|2:373,1:1724|2:323
ccr4_human___856,3468,733,1,3468,1:360|2:373,1:1976|2:322
pacr_human___4358,3395,536,1,3395,1:468|2:68,1:1257|2:1588
cx3c1_human___3647,3072,448,1,3072,1:355|2:93,1:1994|2:1992
pacr_human___1579,2083,481,1,2083,1:468|2:13,1:1203|2:36
gipr_human___1152,2418,494,1,2418,1:466|2:28,1:1694|2:512
gipr_human___574,3220,539,1,3220,1:466|2:73,1:1719|2:1468
ghrhr_human___3542,2411,465,1,2411,1:423|2:42,1:1818|2:588
fshr_human___3640,3072,772,1,3072,1:695|2:77,1:1431|2:1960
cx3c1_human___681,2331,392,1,2331,1:355|2:37,1:1975|2:460
vipr2_human___3700,3072,653,1,3072,1:438|2:215,1:1723|2:1482
ccr8_human___856,3508,728,1,3508,1:355|2:373,1:1964|2:322
pth2r_human___3594,2225,610,1,2225,1:550|2:60,1:1688|2:234
fzd1_human___810,3072,724,1,3072,1:647|2:77,1:1585|2:2025
ghrhr_human___2270,2384,467,1,2384,1:423|2:44,1:1841|2:774
lgr4_human___856,3460,1324,1,3460,1:951|2:373,1:1163|2:323
calcr_human___687,2315,511,1,2315,1:474|2:37,1:1512|2:434
vipr1_human___1504,2252,493,1,2252,1:457|2:36,1:1735|2:508
pth2r_human___3542,2411,592,1,2411,1:550|2:42,1:1698|2:588
calcr_human___798,3072,543,1,3072,1:474|2:69,1:1619|2:2032
vipr2_human___1790,2343,474,1,2343,1:438|2:36,1:1681|2:413
vipr1_human___2156,2121,465,1,2121,1:457|2:8,1:1700|2:73
cx3c1_human___808,3072,425,1,3072,1:355|2:70,1:1996|2:2026
fzd1_human___6067,2261,669,1,2261,1:647|2:22,1:1309|2:214
xcr1_human___856,3466,706,1,3466,1:333|2:373,1:1970|2:323
vipr2_human___3542,2417,480,1,2417,1:438|2:42,1:1680|2:584
vipr2_human___2156,2121,446,1,2121,1:438|2:8,1:1675|2:73
pth2r_human___1140,2480,583,1,2480,1:550|2:33,1:1700|2:695
vipr1_human___1790,2341,493,1,2341,1:457|2:36,1:1712|2:414
pth2r_human___1790,2341,586,1,2341,1:550|2:36,1:1692|2:414
pth2r_human___3643,2093,577,1,2093,1:550|2:27,1:1688|2:104
vipr1_human___1136,2470,486,1,2470,1:457|2:29,1:1723|2:708
vipr2_human___808,3072,508,1,3072,1:438|2:70,1:1749|2:2024
ghrhr_human___644,2057,432,1,2057,1:423|2:9,1:1792|2:10
fshr_human___2019,2155,709,1,2155,1:695|2:14,1:1140|2:107
fshr_human___3700,3072,910,1,3072,1:695|2:215,1:1440|2:1475
pth2r_human___2257,2373,577,1,2373,1:550|2:27,1:1694|2:458
ackr2_human___856,3508,757,1,3508,1:384|2:373,1:1970|2:322
pacr_human___1136,2471,497,1,2471,1:468|2:29,1:1248|2:704
calcr_human___1162,2077,484,1,2077,1:474|2:10,1:1493|2:30
ghrhr_human___1136,2470,452,1,2470,1:423|2:29,1:1822|2:708
