pdb,e_value,Identity,gpcr,model
7VV0,5.211e-09,0.25,mrgx2_human,rfaa
8F7R,5.182e-217,0.927,oprm_human,rfaa
7P00,5.78e-199,0.739,nk1r_human,rfaa
8IC0,2.248e-57,0.381,cxcr1_human,rfaa
8EFQ,3.505e-217,0.927,oprm_human,rfaa
7W57,5.501e-110,0.457,nmur2_human,rfaa
7S8L,5.253e-09,0.25,mrgx2_human,rfaa
7Y66,8.445000000000001e-194,1.0,c5ar1_human,rfaa
7XMS,1.146e-72,0.466,ssr4_human,rfaa
7T10,7.1900000000000015e-75,0.463,ssr2_human,rfaa
7RBT,1.042e-130,0.537,gipr_human,rfaa
8F7W,5.111999999999998e-190,0.996,oprk_human,rfaa
7YKD,3.476e-52,0.376,cml1_human,rfaa
7XAV,3.2780000000000003e-85,0.904,ssr2_human,rfaa
8DWG,4.702e-13,0.333,mrgx1_human,rfaa
7RYC,5.522e-28,0.286,oxyr_human,rfaa
7XW9,5.413999999999998e-29,0.27,trfr_human,rfaa
8F0K,0.0,1.0,calcr_human,rfaa
7XOW,9.037999999999999e-29,0.285,gasr_human,rfaa
7T6T,1.025e-156,0.707,fpr1_human,rfaa
7VDM,5.211e-09,0.25,mrgx2_human,rfaa
7VQX,4.472e-128,0.535,vipr2_human,rfaa
7YOO,2.0619999999999998e-41,0.327,npy2r_human,rfaa
8IA8,1.5310000000000002e-46,0.272,c3ar_human,rfaa
8GY7,2.928e-85,0.904,acthr_human,rfaa
8F7X,7.93e-189,0.986,oprx_human,rfaa
7WQ4,3.48e-43,0.319,galr2_human,rfaa
7W3Z,3.932e-245,0.959,grpr_human,rfaa
8F7Q,1.826e-216,0.924,oprm_human,rfaa
8IBV,2.0589999999999997e-103,0.432,mtlr_human,rfaa
7XA3,1.091e-189,0.826,ccr2_human,rfaa
7WQ3,3.083e-37,0.338,galr1_human,rfaa
7T11,7.1900000000000015e-75,0.463,ssr2_human,rfaa
logs,7.1900000000000015e-75,0.463,,rfaa
