Model,GPCR,AgonistRank,Class,Model_class,Unseen
AF2 (no templates) LIS,ednrb_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,ednra_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,v1ar_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,glr_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,galr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ccr5_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,npbw2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,c5ar1_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ssr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,oxyr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,pth1r_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,npy2r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ur2r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,galr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,nmur2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ssr5_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,c5ar2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,oprk_human,4,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
