identifier,InteractionProbability
ackr1_human___1458,0.082
ackr1_human___1470,0.129
ackr1_human___1579,0.128
ackr1_human___3645,0.431
ackr1_human___3647,0.401
ackr1_human___573,0.067
ackr1_human___758,0.521
ackr1_human___798,0.435
ackr1_human___819,0.492
ackr1_human___989,0.117
ackr2_human___1157,0.226
ackr2_human___1320,0.265
ackr2_human___2174,0.243
ackr2_human___646,0.214
ackr2_human___681,0.142
ackr2_human___754,0.435
ackr2_human___758,0.463
ackr2_human___808,0.395
ackr2_human___821,0.334
ackr2_human___921,0.282
ackr3_human___1004,0.431
ackr3_human___1157,0.206
ackr3_human___1579,0.17
ackr3_human___2019,0.177
ackr3_human___2089,0.154
ackr3_human___2257,0.194
ackr3_human___4358,0.5
ackr3_human___5336,0.089
ackr3_human___810,0.041
ackr3_human___921,0.191
ackr3_human___989,0.192
ackr4_human___1099,0.135
ackr4_human___1790,0.17
ackr4_human___3570,0.077
ackr4_human___3643,0.218
ackr4_human___5654,0.173
ackr4_human___613,0.129
ackr4_human___758,0.394
ackr4_human___798,0.312
ackr4_human___808,0.485
ackr4_human___810,0.492
ackr4_human___855,0.0
acthr_human___1157,0.188
acthr_human___1272,0.02
acthr_human___1320,0.189
acthr_human___1333,0.145
acthr_human___1790,0.102
acthr_human___3542,0.078
acthr_human___3606,0.259
acthr_human___3633,0.222
acthr_human___4057,0.142
acthr_human___4358,0.056
acthr_human___574,0.242
c3ar_human___1470,0.241
c3ar_human___1495,0.147
c3ar_human___1643,0.14
c3ar_human___2019,0.242
c3ar_human___2090,0.219
c3ar_human___2168,0.25
c3ar_human___3640,0.455
c3ar_human___3700,0.014
c3ar_human___5654,0.182
c3ar_human___758,0.018
c3ar_human___798,0.403
c5ar1_human___1136,0.206
c5ar1_human___1495,0.2
c5ar1_human___1579,0.189
c5ar1_human___3592,0.229
c5ar1_human___3700,0.0
c5ar1_human___5654,0.206
c5ar1_human___573,0.584
c5ar1_human___574,0.608
c5ar1_human___5895,0.171
c5ar1_human___646,0.225
c5ar1_human___921,0.19
c5ar2_human___1047,0.2
c5ar2_human___1099,0.305
c5ar2_human___1162,0.265
c5ar2_human___1997,0.24
c5ar2_human___2257,0.207
c5ar2_human___2945,0.191
c5ar2_human___3548,0.0
c5ar2_human___3935,0.238
c5ar2_human___5654,0.259
c5ar2_human___574,0.578
c5ar2_human___921,0.179
calrl_human___1152,0.381
calrl_human___1470,0.008
calrl_human___3548,0.0
calrl_human___3643,0.382
calrl_human___3645,0.007
calrl_human___3700,0.0
calrl_human___3935,0.009
calrl_human___4057,0.06
calrl_human___681,0.525
calrl_human___754,0.0
calrl_human___776,0.0
ccr10_human___1514,0.314
ccr10_human___1643,0.294
ccr10_human___1790,0.202
ccr10_human___3640,0.017
ccr10_human___3646,0.474
ccr10_human___3700,0.011
ccr10_human___687,0.175
ccr10_human___758,0.267
ccr10_human___808,0.461
ccr10_human___810,0.455
ccr10_human___855,0.0
ccr1_human___1579,0.156
ccr1_human___1790,0.222
ccr1_human___2089,0.275
ccr1_human___2098,0.267
ccr1_human___644,0.179
ccr1_human___646,0.167
ccr1_human___754,0.533
ccr1_human___771,0.565
ccr1_human___776,0.503
ccr1_human___798,0.497
ccr1_human___861,0.264
ccr2_human___1047,0.15
ccr2_human___2168,0.194
ccr2_human___3570,0.097
ccr2_human___3645,0.192
ccr2_human___5654,0.175
ccr2_human___754,0.532
ccr2_human___758,0.445
ccr2_human___771,0.502
ccr2_human___776,0.37
ccr2_human___798,0.399
ccr2_human___921,0.436
ccr3_human___1136,0.286
ccr3_human___1790,0.232
ccr3_human___2019,0.201
ccr3_human___2270,0.179
ccr3_human___3542,0.203
ccr3_human___3647,0.396
ccr3_human___3700,0.0
