AF2 rank,LIS rank,class,unseen,GPCR
1,1,Class A (Rhodopsin),False,ednrb_human
1,1,Class A (Rhodopsin),True,ednra_human
1,1,Class A (Rhodopsin),False,ccr5_human
1,1,Class A (Rhodopsin),True,v1ar_human
1,1,Class A (Rhodopsin),True,galr2_human
1,1,Class A (Rhodopsin),True,ccr4_human
2,2,Class A (Rhodopsin),True,c5ar1_human
1,1,Class A (Rhodopsin),True,c5ar2_human
1,1,Class A (Rhodopsin),True,npy2r_human
1,1,Class A (Rhodopsin),True,ssr2_human
1,1,Class A (Rhodopsin),False,v2r_human
1,1,Class A (Rhodopsin),True,ur2r_human
1,1,Class A (Rhodopsin),False,agtr2_human
1,1,Class A (Rhodopsin),True,oxyr_human
1,1,Class A (Rhodopsin),True,mtlr_human
1,1,Class A (Rhodopsin),True,ackr2_human
2,2,Class A (Rhodopsin),True,ntr2_human
5,4,Class A (Rhodopsin),True,oprk_human
1,1,Class A (Rhodopsin),True,npy4r_human
1,1,Class A (Rhodopsin),True,npy5r_human
1,2,Class A (Rhodopsin),False,ccr6_human
2,1,Class A (Rhodopsin),True,ackr4_human
1,1,Class A (Rhodopsin),True,cxcr4_human
1,1,Class A (Rhodopsin),True,kissr_human
1,1,Class A (Rhodopsin),True,ssr5_human
1,2,Class A (Rhodopsin),True,ccr2_human
1,1,Class A (Rhodopsin),True,nmbr_human
1,1,Class A (Rhodopsin),True,ackr1_human
4,2,Class A (Rhodopsin),True,ccr1_human
1,1,Class A (Rhodopsin),True,nk3r_human
3,1,Class A (Rhodopsin),True,galr3_human
4,2,Class A (Rhodopsin),True,ccr10_human
1,1,Class A (Rhodopsin),True,ackr3_human
1,1,Class A (Rhodopsin),True,ssr3_human
1,1,Class A (Rhodopsin),True,ccr7_human
1,1,Class A (Rhodopsin),False,cxcr2_human
1,1,Class A (Rhodopsin),False,cckar_human
1,1,Class A (Rhodopsin),True,ccr8_human
1,1,Class A (Rhodopsin),True,pkr2_human
1,1,Class A (Rhodopsin),True,npbw1_human
3,1,Class A (Rhodopsin),True,ccr9_human
1,1,Class A (Rhodopsin),True,pkr1_human
6,6,Class A (Rhodopsin),False,ghsr_human
1,1,Class A (Rhodopsin),False,apj_human
1,1,Class A (Rhodopsin),True,cxcr1_human
2,1,Class A (Rhodopsin),True,galr1_human
2,2,Class A (Rhodopsin),True,ccr3_human
1,1,Class A (Rhodopsin),True,nk1r_human
1,1,Class A (Rhodopsin),True,mchr1_human
1,1,Class A (Rhodopsin),True,npy1r_human
6,1,Class A (Rhodopsin),True,lgr6_human
1,1,Class A (Rhodopsin),True,qrfpr_human
7,1,Class A (Rhodopsin),True,lgr4_human
1,1,Class A (Rhodopsin),True,npff1_human
4,6,Class A (Rhodopsin),True,cxcr3_human
1,1,Class A (Rhodopsin),True,prlhr_human
1,1,Class A (Rhodopsin),True,oprx_human
2,2,Class A (Rhodopsin),False,agtr1_human
1,1,Class A (Rhodopsin),True,ssr4_human
5,1,Class A (Rhodopsin),True,lgr5_human
1,1,Class A (Rhodopsin),False,c3ar_human
2,1,Class A (Rhodopsin),True,npbw2_human
3,1,Class A (Rhodopsin),True,cxcr5_human
3,2,Class A (Rhodopsin),True,bkrb2_human
3,1,Class A (Rhodopsin),True,nmur2_human
1,1,Class A (Rhodopsin),True,mchr2_human
3,2,Class A (Rhodopsin),True,mrgx2_human
1,1,Class A (Rhodopsin),True,npff2_human
6,7,Class A (Rhodopsin),False,fpr2_human
2,1,Class A (Rhodopsin),False,ntr1_human
3,1,Class A (Rhodopsin),True,cx3c1_human
1,1,Class A (Rhodopsin),True,bkrb1_human
1,1,Class A (Rhodopsin),False,mc4r_human
1,1,Class A (Rhodopsin),True,par4_human
1,2,Class A (Rhodopsin),True,v1br_human
11,11,Class A (Rhodopsin),True,gpr75_human
3,1,Class A (Rhodopsin),True,cml2_human
1,1,Class A (Rhodopsin),True,nmur1_human
3,4,Class A (Rhodopsin),False,ox2r_human
1,1,Class A (Rhodopsin),True,nk2r_human
1,1,Class A (Rhodopsin),True,rl3r1_human
3,1,Class A (Rhodopsin),True,cml1_human
2,1,Class A (Rhodopsin),True,ox1r_human
1,4,Class A (Rhodopsin),True,trfr_human
2,1,Class A (Rhodopsin),True,ssr1_human
1,2,Class A (Rhodopsin),True,gasr_human
1,1,Class A (Rhodopsin),False,oprd_human
5,6,Class A (Rhodopsin),True,fpr3_human
3,1,Class A (Rhodopsin),True,cxcr6_human
7,3,Class A (Rhodopsin),True,oprm_human
1,1,Class A (Rhodopsin),False,mshr_human
1,1,Class A (Rhodopsin),True,mc5r_human
2,2,Class A (Rhodopsin),True,gnrhr_human
4,7,Class A (Rhodopsin),True,gpr39_human
2,1,Class A (Rhodopsin),True,xcr1_human
4,1,Class A (Rhodopsin),True,grpr_human
8,8,Class A (Rhodopsin),True,npsr1_human
4,1,Class A (Rhodopsin),True,fpr1_human
4,8,Class A (Rhodopsin),True,fshr_human
2,2,Class A (Rhodopsin),True,mrgx1_human
8,2,Class A (Rhodopsin),True,acthr_human
3,5,Class A (Rhodopsin),True,mc3r_human
11,10,Class A (Rhodopsin),True,hrh4_human
4,3,Class A (Rhodopsin),True,gpr37_human
8,9,Class A (Rhodopsin),True,g37l1_human
1,1,Class B1 (Secretin),False,glr_human
1,1,Class B1 (Secretin),False,pth1r_human
1,1,Class B1 (Secretin),False,calrl_human
1,1,Class B1 (Secretin),False,glp1r_human
2,1,Class B1 (Secretin),False,glp2r_human
1,1,Class B1 (Secretin),False,pacr_human
5,3,Class B1 (Secretin),False,ghrhr_human
1,1,Class B1 (Secretin),False,vipr1_human
4,5,Class B1 (Secretin),False,sctr_human
1,2,Class B1 (Secretin),True,vipr2_human
5,1,Class B1 (Secretin),True,gipr_human
1,1,Class B1 (Secretin),False,pth2r_human
1,1,Class B1 (Secretin),True,calcr_human
