Model,GPCR,AgonistRank,unseen,class
AF2 RIA energy (no templates),lgr4_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),npbw2_human,3,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),lgr5_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ccr5_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),nmur2_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ssr2_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),c5ar1_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),cckar_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),qrfpr_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ccr2_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),galr2_human,3,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),npbw1_human,3,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),v1ar_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),mchr1_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),npff1_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ednrb_human,2,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),oprk_human,5,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ackr1_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),nk3r_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),galr3_human,5,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),kissr_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ssr5_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ackr2_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ccr4_human,4,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ccr9_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),galr1_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),nmur1_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ssr4_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),mshr_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),oxyr_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ur2r_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),cxcr6_human,3,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ednra_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),fshr_human,7,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),mtlr_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ccr6_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),oprx_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),xcr1_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),c5ar2_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),cx3c1_human,5,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ntr1_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),ccr8_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),gpr75_human,11,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),npff2_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ntr2_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),mc4r_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),ccr3_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),cxcr4_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ackr4_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),nmbr_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),trfr_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ssr1_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),nk2r_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ccr7_human,3,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),agtr2_human,1,False,Class A (Rhodopsin)
