gpcr,name,accession,receptor_class,receptor_family,ligand_type,subfamily,endogenous_ligands,species
agtr1_human,AT<sub>1</sub> receptor,P30556,Class A (Rhodopsin),Angiotensin receptors,Peptide receptors,AT<sub>1</sub> receptor,"[{'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin IV'}, {'name': 'angiotensin IV'}, {'name': 'angiotensin IV'}, {'name': 'angiotensin IV'}, {'name': 'angiotensin IV'}, {'name': 'angiotensin IV'}, {'name': 'angiotensin IV'}, {'name': 'angiotensin IV'}, {'name': 'angiotensin IV'}, {'name': 'angiotensin A'}]",Homo sapiens
agtr2_human,AT<sub>2</sub> receptor,P50052,Class A (Rhodopsin),Angiotensin receptors,Peptide receptors,AT<sub>2</sub> receptor,"[{'name': 'angiotensin-(1-7)'}, {'name': 'angiotensin-(1-7)'}, {'name': 'angiotensin-(1-7)'}, {'name': 'angiotensin-(1-7)'}, {'name': 'angiotensin-(1-7)'}, {'name': 'angiotensin-(1-7)'}, {'name': 'angiotensin-(1-7)'}, {'name': 'angiotensin-(1-7)'}, {'name': 'angiotensin-(1-7)'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin III'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}, {'name': 'angiotensin II'}]",Homo sapiens
apj_human,apelin receptor,P35414,Class A (Rhodopsin),Apelin receptors,Peptide receptors,apelin receptor,"[{'name': '[Pyr<sup>1</sup>]apelin-13'}, {'name': '[Pyr<sup>1</sup>]apelin-13'}, {'name': '[Pyr<sup>1</sup>]apelin-13'}, {'name': '[Pyr<sup>1</sup>]apelin-13'}, {'name': '[Pyr<sup>1</sup>]apelin-13'}, {'name': '[Pyr<sup>1</sup>]apelin-13'}, {'name': '[Pyr<sup>1</sup>]apelin-13'}, {'name': '[Pyr<sup>1</sup>]apelin-13'}, {'name': '[Pyr<sup>1</sup>]apelin-13'}, {'name': 'apelin-13'}, {'name': 'apelin-13'}, {'name': 'apelin-13'}, {'name': 'apelin-13'}, {'name': 'apelin-13'}, {'name': 'apelin-13'}, {'name': 'apelin-13'}, {'name': 'apelin-13'}, {'name': 'apelin-13'}, {'name': 'apelin-36'}, {'name': 'apelin-36'}, {'name': 'apelin-36'}, {'name': 'apelin-17'}, {'name': 'apelin-17'}, {'name': 'apelin-17'}, {'name': 'apelin-17'}, {'name': 'apelin-17'}, {'name': 'apelin-17'}, {'name': 'apelin-17'}, {'name': 'apelin-17'}, {'name': 'apelin-17'}, {'name': 'apelin receptor early endogenous ligand'}, {'name': 'apelin receptor early endogenous ligand'}, {'name': 'Elabela/Toddler-32'}, {'name': 'Elabela/Toddler-21'}, {'name': 'Elabela/Toddler-11'}]",Homo sapiens
nmbr_human,BB<sub>1</sub> receptor,P28336,Class A (Rhodopsin),Bombesin receptors,Peptide receptors,BB<sub>1</sub> receptor,"[{'name': 'gastrin-releasing peptide'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'gastrin-releasing peptide'}, {'name': 'gastrin-releasing peptide'}, {'name': 'gastrin-releasing peptide'}, {'name': 'GRP-(18-27)'}, {'name': 'GRP-(18-27)'}, {'name': 'GRP-(18-27)'}, {'name': 'GRP-(18-27)'}, {'name': 'gastrin releasing peptide(14-27) (human)'}]",Homo sapiens
grpr_human,BB<sub>2</sub> receptor,P30550,Class A (Rhodopsin),Bombesin receptors,Peptide receptors,BB<sub>2</sub> receptor,"[{'name': 'gastrin-releasing peptide'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'neuromedin B'}, {'name': 'GRP-(18-27)'}, {'name': 'GRP-(18-27)'}, {'name': 'GRP-(18-27)'}, {'name': 'GRP-(18-27)'}, {'name': 'gastrin releasing peptide(14-27) (human)'}, {'name': 'neuromedin C'}]",Homo sapiens
brs3_human,BB<sub>3</sub> receptor,P32247,Class A (Rhodopsin),Bombesin receptors,Peptide receptors,BB<sub>3</sub> receptor,[],Homo sapiens
bkrb1_human,B<sub>1</sub> receptor,P46663,Class A (Rhodopsin),Bradykinin receptors,Peptide receptors,B<sub>1</sub> receptor,"[{'name': 'T-kinin'}, {'name': 'T-kinin'}, {'name': '[des-Arg<sup>10</sup>]kallidin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': 'bradykinin'}, {'name': 'bradykinin'}, {'name': 'bradykinin'}, {'name': 'kallidin'}, {'name': '[Hyp<sup>3</sup>]bradykinin'}, {'name': 'Lys-[Hyp<sup>3</sup>]-bradykinin'}]",Homo sapiens
bkrb2_human,B<sub>2</sub> receptor,P30411,Class A (Rhodopsin),Bradykinin receptors,Peptide receptors,B<sub>2</sub> receptor,"[{'name': 'T-kinin'}, {'name': 'T-kinin'}, {'name': '[des-Arg<sup>10</sup>]kallidin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': '[des-Arg<sup>9</sup>]bradykinin'}, {'name': 'bradykinin'}, {'name': 'bradykinin'}, {'name': 'bradykinin'}, {'name': 'bradykinin'}, {'name': 'bradykinin'}, {'name': 'bradykinin'}, {'name': 'kallidin'}, {'name': '[Hyp<sup>3</sup>]bradykinin'}, {'name': 'Lys-[Hyp<sup>3</sup>]-bradykinin'}]",Homo sapiens
cckar_human,CCK<sub>1</sub> receptor,P32238,Class A (Rhodopsin),Cholecystokinin receptors,Peptide receptors,CCK<sub>1</sub> receptor,"[{'name': 'CCK-33'}, {'name': 'CCK-4'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-33'}, {'name': 'CCK-33'}, {'name': 'CCK-58'}, {'name': 'gastrin-17'}, {'name': 'gastrin-17'}, {'name': 'gastrin-17'}, {'name': 'desulfated cholecystokinin-8'}, {'name': 'CCK-39'}]",Homo sapiens
gasr_human,CCK<sub>2</sub> receptor,P32239,Class A (Rhodopsin),Cholecystokinin receptors,Peptide receptors,CCK<sub>2</sub> receptor,"[{'name': 'CCK-33'}, {'name': 'CCK-4'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-8'}, {'name': 'CCK-33'}, {'name': 'CCK-33'}, {'name': 'CCK-58'}, {'name': 'desulfated gastrin-14'}, {'name': 'gastrin-17'}, {'name': 'gastrin-17'}, {'name': 'gastrin-17'}, {'name': 'gastrin-34'}, {'name': 'gastrin-71'}, {'name': 'desulfated cholecystokinin-8'}, {'name': 'desulfated gastrin-17'}, {'name': 'desulfated gastrin-34'}, {'name': 'desulfated gastrin-71'}, {'name': 'gastrin-14'}, {'name': 'CCK-39'}]",Homo sapiens
