Model,GPCR,AgonistRank,Class,Model_class,Family,Unseen
AF2 (no templates) LIS,ednrb_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Seen
AF2 (no templates) LIS,ednra_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,v1ar_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,glr_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,galr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ccr5_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Seen
AF2 (no templates) LIS,npbw2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,c5ar1_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ssr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,oxyr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,pth1r_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,npy2r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ur2r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,galr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,nmur2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ssr5_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,c5ar2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,oprk_human,4,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,glp2r_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,v2r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Seen
AF2 (no templates) LIS,npy5r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,glp1r_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,gipr_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Unseen
AF2 (no templates) LIS,agtr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Seen
AF2 (no templates) LIS,npy4r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ssr3_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,mtlr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,calrl_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,ccr2_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,vipr1_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,nmur1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ccr4_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,galr3_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,kissr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ccr1_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,ntr2_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,cxcr4_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,cx3c1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,cckar_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Seen
AF2 (no templates) LIS,pth2r_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,pkr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,sctr_human,5,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,pkr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,calcr_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Unseen
AF2 (no templates) LIS,mchr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ccr6_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Seen
AF2 (no templates) LIS,pacr_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,ccr9_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,nk3r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ackr1_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,vipr2_human,2,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Unseen
AF2 (no templates) LIS,ackr3_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,npbw1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ssr4_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,ccr3_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,ntr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Seen
AF2 (no templates) LIS,ackr4_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,nmbr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,npy1r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
AF2 (no templates) LIS,crfr2_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,lgr5_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Protein,Unseen
AF2 (no templates) LIS,ghrhr_human,3,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Peptide,Seen
AF2 (no templates) LIS,npff1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Peptide,Unseen
